,User,Date,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet
10,SolanaSultan,2021-11-01 23:54:41+00:00,0,0,0,Twitter Web App,2968,30,0,0,en,"@MonkDoesnt @norbertbodziony @SBF_FTX We're all human beings born with God given rights and dreams, where I don't need anyone to list them for me, God spoke to us all and stated, that ""the world is our playground"""
11,letusbet,2021-11-01 23:54:02+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Chainlink December future on #ftx is trading at 2.83% premium over spot
12,Fuhgetabouddit,2021-11-01 23:54:00+00:00,0,0,0,Twitter Web App,1591,143,0,0,en,@SBF_FTX have you taken a look at @SynapseProtocol (formerly Nerve)
13,skynetwoof,2021-11-01 23:53:16+00:00,2,0,0,Twitter for Android,106,8,0,0,en,@Saitamen @binance @coinbase @CoinbasePro @HuobiGlobal @cryptocom @kucoincom @ftx_app @BinanceUS @krakenfx @bitfinex @BitrueOfficial @p2pb2b you are about to remove a zero !!!  we must celebrate.
14,bluethingcap,2021-11-01 23:53:08+00:00,0,0,0,Twitter Web App,5293,318,0,0,en,@SBF_FTX buy now price work for anyone else?
15,SolanaSultan,2021-11-01 23:53:01+00:00,0,1,0,Twitter Web App,2968,30,0,0,en,"@MonkDoesnt @norbertbodziony @SBF_FTX @SBF_FTX 
True Royalty ""New World Man"" living dream of starting island and world Land or territories, where we can sit back and let the fiscal laws be lax.. and all under the sun remain always Smiling 🥲.. Partner up own and declare freedoms where we or I own a ""Land In Time""..."
16,Tanjiro_goat,2021-11-01 23:52:45+00:00,0,1,0,Twitter Web App,50,15,0,0,en,"@RNR_0 I could place an order on ftx with a one liner, clearly can append some pairs to a list easily"
17,transce_Futaba,2021-11-01 23:52:12+00:00,1,0,0,Twitter for Android,16290,633,0,0,ja,@ftx_maa24163 あら…お大事に🍀
18,HODLsolana,2021-11-01 23:51:48+00:00,1,0,0,Twitter for iPhone,32533,7493,0,0,en,@SixtyNineSams @SBF_FTX @ftx_us @tungstencubenft @MTS_Store U better get this…
19,bloomey,2021-11-01 23:51:10+00:00,3,0,0,Twitter for iPhone,5784,1073,0,0,en,@SBF_FTX We like the Cubes https://t.co/IWKV26Xmo9
20,GlitchStroke,2021-11-01 23:51:08+00:00,3,0,0,Twitter for iPhone,13605,3654,0,0,en,@SBF_FTX // now // it is exciting //
21,SixtyNineSams,2021-11-01 23:51:05+00:00,18,2,0,Twitter for iPhone,685,826,0,0,und,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store 👀
22,AucanDG,2021-11-01 23:50:35+00:00,0,0,0,Twitter Web App,1688,109,0,0,en,I can't do my crypto taxes @FTX_Official @ftx_us @SBF_Alameda. When will you integrate with @CoinTracker so that I can get my taxes done?
23,bluethingcap,2021-11-01 23:49:47+00:00,0,0,0,Twitter Web App,5293,318,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store sol is in account but can't buy?
24,Dave_Fraz,2021-11-01 23:49:46+00:00,0,0,0,Twitter for iPhone,13472,1880,0,0,und,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store 👏👏
25,yu2na_yane4,2021-11-01 23:49:37+00:00,1,0,0,Twitter for iPhone,31958,2592,0,0,ja,@ftx_maa24163 わーお…お大事にしてくださいね😰
26,trendybaba_,2021-11-01 23:49:12+00:00,1,0,0,Twitter for iPhone,21008,870,0,0,en,yo @FTX_Official $ens perps day 1 plz https://t.co/YhP3fAHKJx
27,TSM,2021-11-01 23:48:53+00:00,8275,62,302,Twitter Web App,21599,2228184,0,1,en,"ANOTHER ONE 🥇

Thank you for the invite @NICKMERCS and the $15,000 bag, TSM FTX Apex are your NICKMERCS Gauntlet champions! https://t.co/gklHwB5j67"
28,ShineRenjit,2021-11-01 23:48:07+00:00,0,2,0,Twitter Web App,461,3,0,0,en,"@blockchain_js what do you think about the ""Coinbase And FTX Are Considering To Acquire Cipher Mining (CIFR) For A Horizontal Play"" rumor"
29,NdukaAnthonyA,2021-11-01 23:46:32+00:00,0,0,0,Twitter for Android,4897,2462,0,0,en,"@korrine_xo Learn how it's done, Use FTX"
30,No6_8492,2021-11-01 23:46:19+00:00,1,1,0,Twitter for iPhone,96680,635,0,0,ja,"FTX来ねーかな
日本の情報追ってるならアフロの耳にも届いてるはず"
31,DYORCryptoBot,2021-11-01 23:46:02+00:00,2,0,0,DYORCryptoBot,323628,91521,1,0,en,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $CRO
2: $1INCH
3: $MTL
4: $DAWN
5: $BNT

Top 5 bullish trend (#USD stocks)
1: $AMC
2: $TSLA
3: $UBER
4: $NVDA
5: $TWTR

All #FTX results on https://t.co/vMSA8RwQ1G website!"
32,vnhflow,2021-11-01 23:44:26+00:00,0,0,0,Twitter Web App,6840,428,0,0,en,"@nbatopshot @roham @QuavoStuntin Wow nice 
!! @SBF_FTX"
33,marydlcz,2021-11-01 23:43:32+00:00,1,0,1,Twitter Web App,3174,217,0,0,en,@IcedKnife when $WOOF on @FTX_Official
34,JackNiewold,2021-11-01 23:42:49+00:00,2,0,0,Twitter Web App,6499,116705,0,0,en,"Also I'm ignoring a bunch of stuff like:
• CAC and LTV and revenue/tx
• Spot is different than futures/derivs
• CEXes and DEXes are different
• Volume =/= revenue

But whatever, you should still buy $FTX"
35,JackNiewold,2021-11-01 23:42:48+00:00,0,2,0,Twitter Web App,6499,116705,0,0,en,"Also, the token on the open market is actually trading at a discount to venture money. 

The VC round that just closed values FTX at $25 billion, and the token fully diluted is worth $20.7 billion. 

So if you buy $FTT, you're paying less for a share of FTX cash flows than VCs"
36,JackNiewold,2021-11-01 23:42:47+00:00,3,1,0,Twitter Web App,6499,116705,0,0,en,"All this means I'm really bullish on FTX, and thus $FTT

The $FTT token is kind of a security in that it uses exchange fees to buy back the token, which raises the price. 

This is backed up by about 1/3rd of all exchange fees."
37,JackNiewold,2021-11-01 23:42:46+00:00,2,1,0,Twitter Web App,6499,116705,0,0,en,"TAKEAWAYS:

Coinbase and Uniswap are overvalued. 

$SUSHI and $FTX are CRAZY undervalued. 

We can't buy Binance's cash flows so I won't talk about it."
38,JackNiewold,2021-11-01 23:42:45+00:00,1,1,0,Twitter Web App,6499,116705,0,0,en,"1. @FTX_Official (@SBF_FTX)
• Valuation: $25 billion
• Volume: $20 billion
• Volume multiple: 1.25x"
39,bars_kind,2021-11-01 23:42:18+00:00,3,0,0,Twitter Web App,6546,1427,0,0,en,"@Knowcoinery Furthermore, FTX will pilot and lead United States Fed coin."
40,DigitalTulipCo,2021-11-01 23:42:13+00:00,0,0,0,Twitter Web App,460,1197,0,0,und,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store 🌷🤌 #69 https://t.co/MgaLGlQJWL
41,DeFi_Rugpull,2021-11-01 23:41:48+00:00,3,0,0,Twitter for iPhone,17804,2275,0,0,en,"@bitcoinpanda69 FTX:FOOO will be the top this cycle, blv it."
42,letusbet,2021-11-01 23:41:20+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Ethereum March future on #ftx is trading at 5.98% premium over spot
43,kumasanda12,2021-11-01 23:40:44+00:00,3,0,0,Twitter for Android,12812,207,0,0,ja,"いいね〜
あとはオレンジ。バイナンスが降りたらそろそろビットコインの出番やで〜☺
青は僕らのFTX。 https://t.co/5EqnklJgsd"
44,Beyond_wealth_,2021-11-01 23:40:13+00:00,0,0,0,Twitter for iPhone,5720,288,0,0,en,"@SBF_FTX @ftx_us @tungstencubenft @MTS_Store It should feel like once in lifetime opportunity, but it doesn’t!"
45,futuredart,2021-11-01 23:39:50+00:00,0,0,0,Twitter for iPhone,970,101,0,0,no,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store Sam an OG silent cuber
46,letusbet,2021-11-01 23:39:38+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Litecoin December future on #ftx is trading at 2.69% premium over spot
47,_jbradleyy,2021-11-01 23:39:37+00:00,2,0,0,Twitter for iPhone,4522,405,0,0,en,"@FTX_Official …wen more https://t.co/OtsQ794iaj  tokens? $SHIB got listed in a hurry, how about some $DOT $ADA $AXS or be real ballers &amp; relist $XRP

FTX &gt; @coinbase ..add more projects &amp; it’s gameover https://t.co/iHXB51HoKy"
48,realFartsupreme,2021-11-01 23:38:23+00:00,0,0,0,Twitter for iPhone,1143,713,0,0,und,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store 👀👀👀👀👀👀
49,NFT_stack,2021-11-01 23:36:27+00:00,32,2,27,Twitter for iPhone,1722,45137,0,0,en,"Reasons why I trade on Binance Futures:

1. FTX doesn’t have the trading pair 
2. See point 1 

#Binance #BNB $FTT $BNB"
50,Keyzoh,2021-11-01 23:36:16+00:00,2,1,0,Twitter Web App,1227,439,0,0,en,Someone market bought 500k worth of $AURY on @FTX_Official 2 and half hours ago lol.
51,TPPoster,2021-11-01 23:35:33+00:00,0,0,0,Twitter for iPhone,1138,163,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store @SBF_FTX can you explain what’s going on with the Earl Campbells playbook project I’ve had a support ticket in but getting no response for over a month. Ticket 329742
52,FTX_Helpdesk,2021-11-01 23:34:11+00:00,1,2,0,Twitter Web App,1367,34209,0,1,en,@danyourdevil3 @SBF_FTX @tungstencubenft @MTS_Store A tungsten cube engraved by Sam
53,peacelovecrypt0,2021-11-01 23:33:49+00:00,3,0,0,Twitter Web App,9575,2391,0,0,en,@SBF_FTX How bout some $ASS for the winner!  lol 😂😂🚀🚀💯💯🍑🍑 #TEAMASS
54,BTCseazon,2021-11-01 23:33:47+00:00,2,0,0,Twitter for Android,2688,51,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store Can we get $FTT to $420.69 please?
55,SORBETGUTS_,2021-11-01 23:33:34+00:00,0,0,0,Twitter Web App,995,37,0,0,in,"@TheFalconTrades ftx, lcx"
56,StealthCapital_,2021-11-01 23:32:58+00:00,0,0,0,Twitter for iPhone,13802,959,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store Will bid 69Sol with 69 mins left. Nobody frontrun me
57,SolaNFTz,2021-11-01 23:31:56+00:00,0,0,0,Twitter for iPhone,3749,1823,0,0,en,@SBF_FTX It was always the cube
58,letusbet,2021-11-01 23:31:55+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Solana December future on #ftx is trading at 3.26% premium over spot
59,Dream_Chaser_24,2021-11-01 23:31:30+00:00,2,0,0,Twitter for iPhone,105172,2542,0,0,en,"@SoLuna_FTX @FrankGee305 The markets wrong if not 😅… I’m expecting a last shakeout before the leg up, although I wouldn’t mind skipping that part.."
60,jjbratu,2021-11-01 23:31:10+00:00,0,0,0,Twitter Web App,2737,110,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store ARE THOSE JUST THE SAME GREY FUCKING BOXES??
61,CryptoKnightro,2021-11-01 23:31:09+00:00,0,0,0,Twitter for iPhone,56,33,0,0,en,My new fav qb @AaronRodgers12 Tom Brady &amp; FTX sucks!! https://t.co/D7bXOBq2qz
62,DYORCryptoBot,2021-11-01 23:31:01+00:00,2,0,0,DYORCryptoBot,323628,91521,1,0,en,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $TULIP
2: $STX
3: $OKB
4: $LINK
5: $DAWN

Top 5 bullish trend (#USD stocks)
1: $AMC
2: $ABNB
3: $TWTR
4: $NVDA
5: $ARKK

All #FTX results on https://t.co/vMSA8RwQ1G website!"
63,TvCihat,2021-11-01 23:30:52+00:00,1,0,0,Twitter Web App,669,77,0,0,en,@SBF_FTX Heyyy Sam $ftt ?????
64,JellyBeasts_Sol,2021-11-01 23:30:50+00:00,1,0,0,Twitter for iPhone,5571,4928,0,0,en,@SBF_FTX (There isn’t one bc spheres are worse)
65,beeetcoin,2021-11-01 23:30:48+00:00,0,0,0,Twitter for Android,6323,515,0,0,en,"@SBF_FTX I had to check your avatar to see if it was a joke . 
Ok it's true , lets go 🔥"
66,JellyBeasts_Sol,2021-11-01 23:30:24+00:00,4,1,0,Twitter for iPhone,5571,4928,0,0,en,"@SBF_FTX Official proof of cube supremacy over sphere, where’s the SBF signed sphere?"
67,0xFreezby,2021-11-01 23:30:16+00:00,0,1,0,Twitter Web App,162,526,0,0,en,@TeamKobold @TSM @AuroryProject @ftx_us @GirlsWhoCode scam ? hahaha how old are you ? boomer
68,AlgoWilly,2021-11-01 23:30:15+00:00,0,0,0,Twitter for iPhone,2092,1918,0,0,en,@SBF_FTX Does @ftx_app accept $Algo #NFT ?
69,BitcoinCashOG,2021-11-01 23:29:53+00:00,0,0,0,Twitter for iPhone,3156,152,0,0,qam,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store @mikeygnft
70,Cryptotyrion,2021-11-01 23:29:51+00:00,3,0,0,Twitter Web App,26155,4264,0,0,en,"The last 2 weeks in @onstreeth, the first NFT platform for Street Art, were def. hot.

Our new Miami office is confirmed. We are right over the @SBF_FTX @FTX_Official Arena pals! 🔥🌡️

We have almost completed the Seed round! 
Let's meet in @DCentralCon. 

STAY TUNED 📺 #nftdrop"
71,SBF_FTX,2021-11-01 23:29:07+00:00,257,56,19,Twitter Web App,21090,1087700,0,1,en,winning cube will be signed/engraved by me
72,Awawat_Trades,2021-11-01 23:29:02+00:00,1,1,0,Twitter Web App,37915,59026,0,0,en,@BlubberXbt Good point. I don't play DEFI-PERP on FTX because the constituents seem outdated to me.
73,RKDEADY1960,2021-11-01 23:28:44+00:00,36,0,12,Twitter for iPhone,2053,205,0,0,en,@Saitamen @binance @coinbase @CoinbasePro @HuobiGlobal @cryptocom @kucoincom @ftx_app @BinanceUS @krakenfx @bitfinex @BitrueOfficial @p2pb2b $SAITAMA is running right now !!!!
74,namexmexking,2021-11-01 23:28:27+00:00,0,0,0,Twitter for iPhone,6857,1167,0,0,en,Support as stopped responding to my emails. The customer service number 1-866-200-8566 transfer you to a personal cell phone. The lady answers and says “this is not FTX customer support” then hangs up.. call it yourself @ftx_app @FTX_Official @bbb_us
75,TEEJAYPEE_,2021-11-01 23:28:17+00:00,0,1,0,Twitter for iPhone,47393,380,0,0,en,"@petty_fc Yeah, it has nothing to do with their equity stake in FTX or anything……"
76,LiamJanssens,2021-11-01 23:28:02+00:00,0,0,0,Twitter Web App,6987,991,0,0,en,all the profits i'm making from short term trading on ftx is going straight into buying digital land the coming months in axie infinity and soon illuvium.
77,letusbet,2021-11-01 23:27:55+00:00,0,0,0,market_alerts,25281,790,0,0,en,#BTC March future on #ftx is trading at 5.5% premium over spot
78,pattty847,2021-11-01 23:27:32+00:00,0,0,0,Twitter Web App,14376,506,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store sam can i just have it
79,somkyd,2021-11-01 23:27:10+00:00,1,0,0,Twitter Web App,39144,1120,0,0,en,"@SBF_FTX @tungstencubenft bro work on ftx support, it's nonexistent, that's quite sad , no response for over a week"
80,bovine_wonga,2021-11-01 23:27:09+00:00,1,0,0,Tweetbot for iΟS,453,14,0,0,en,@SBF_FTX @tungstencubenft Ooh a real beaauty
81,jacobNFT,2021-11-01 23:26:36+00:00,1,0,0,Twitter Web App,18837,2261,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store You getting anything next?
82,helpmydaughter1,2021-11-01 23:26:35+00:00,1,0,0,Twitter for Android,1772,6,0,0,en,@SBF_FTX @tungstencubenft @SBF_FTX bro please talk with me! I nneed tslk with you send me a mp
83,ZeroWaiting,2021-11-01 23:26:18+00:00,1,0,0,Twitter Web App,3801,13708,0,0,es,@SBF_FTX @tungstencubenft nice cube 10/10 cube
84,unpopular06,2021-11-01 23:25:17+00:00,1,0,0,Twitter for iPhone,1609,837,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store Bullish
85,SBF_FTX,2021-11-01 23:25:15+00:00,167,17,13,Twitter Web App,21090,1087700,0,1,en,...a huge thanks to @tungstencubenft for all the support! https://t.co/RVAxsjd7iO
86,unusual_whales,2021-11-01 23:24:58+00:00,5,0,0,Twitter for iPhone,99439,1250754,0,1,en,"@SBF_FTX @ftx_us @tungstencubenft @MTS_Store I’ll give $420.69 for it, @SBF_FTX."
87,neon___glow,2021-11-01 23:24:41+00:00,1,0,0,Twitter for iPhone,29699,2828,0,0,en,@SBF_FTX @ftx_us @tungstencubenft @MTS_Store 69 ser I feel u
88,SBF_FTX,2021-11-01 23:24:25+00:00,616,113,86,Twitter Web App,21090,1087700,0,1,en,"Starting the auction for my NFT 4 inch tungsten cube #69 on @ftx_us!

Cube #69 is considered by many to be the Holy Grail of @tungstencubenft collection.

In addition NFT, you'll get a physical 4 inch cube donated by @MTS_Store
 
All proceeds donated!

https://t.co/9bS2th0XG5"
89,MoonSho62719553,2021-11-01 23:22:10+00:00,4,0,1,Twitter for iPhone,38058,1542,0,0,en,The UK #Saitama Movement🔥 @cryptoLLS knows what’s up! #Saitama is a movement! Big Exchange listing coming!! #SaitaMask launch around the corner @binance @coinbase @kucoincom @cryptocom @krakenfx @FTX_Official @HuobiGlobal #Saitama 🚊 is coming The ENERGY is Real get onboard🔥
90,DCA_Cryptoz,2021-11-01 23:22:03+00:00,0,0,0,CryptosBulls,139764,14843,0,0,en,"#FTX $ftt
Price: $59.10
24 hr: -0.95%

Main Trend: DN📉
Short Term Trend: DN📉
Areas of Support
Hold Above: $58.39

👀 Levels of interest
Longer Term    : $81.93
Caution Below  : $53.13

Not 10x leverage"
91,iiuni_1,2021-11-01 23:21:51+00:00,0,0,0,Twitter for iPhone,2215,47,0,0,ja,"FRはまあまあ落ち着いてきたけどoiのかたよりがひどいな
バイナンスとftxのロング狩ってから上か？"
92,morikawa2,2021-11-01 23:21:37+00:00,0,0,0,Twitter for iPhone,2089,67,0,0,en,"@AaronRodgers12 @CashApp @TomBrady Hey Goat, Are you going to one up Rodgers with giving out a Million to followers and users of FTX?"
93,letusbet,2021-11-01 23:21:10+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Chainlink December future on #ftx is trading at 2.92% premium over spot
94,0xjp997,2021-11-01 23:20:45+00:00,1,1,0,Twitter for iPhone,142,127,0,0,en,@Simon_Kemp @Quinnvestments @FTX_Official @CryptoWhale @CryptoHellspawn @Bitfinexed Profound discovery. Welcome to every listed market place in the world in 2021. You found the fraud forsure here.
95,Matteo__XO,2021-11-01 23:20:17+00:00,0,1,0,Twitter for iPhone,1475,5705,0,0,en,@tackettzane @SBF_FTX Should I trust?
96,namexmexking,2021-11-01 23:19:52+00:00,0,0,0,Twitter for iPhone,6857,1167,0,0,en,"@ftx_app @FTX_Official @bbb_us 
WHERE IS MY ACCOUNT? 
WHERE IS MY MONEY?
@bbb_us PLEASE HELP ME https://t.co/I5GsembCOf"
97,neon___glow,2021-11-01 23:19:41+00:00,0,0,0,Twitter for iPhone,29699,2828,0,0,en,@SantiagoAuFund The one that @SBF_FTX is on
98,patrakage,2021-11-01 23:19:19+00:00,1,0,0,Twitter for Android,449,43,0,0,en,"@CobanToken @LiveCoinWatch When CEX???
@FTX_Official @SBF_FTX @Solana_FR"
99,FiratPektas1,2021-11-01 23:19:11+00:00,0,1,0,Twitter for iPhone,1787,29,0,0,tr,@eness_turann Hocam binansi 31 aralık son canada ftx koldırıldı ne yapacaz bilmiyorum🇨🇦🙋‍♂️
100,kohakuphoto,2021-11-01 23:18:58+00:00,0,0,0,TwitCasting,7803,111,0,0,ja,FTXのアヒルきゃす☆！PCからキャス配信中 -  / #lgbtさんと繋がりたい #雑談　#初見さん大歓迎 16時間食事の感覚を開けると痩せ体質 https://t.co/8kqWLQPlvn
101,BuzzTechYear,2021-11-01 23:17:28+00:00,1,1,0,Twitter for iPhone,3776,30498,0,0,en,"@youngbloodcap @SBF_FTX 1 Uniswap isn’t free 
2 COIN has regulatory clarity in the US &amp; ease of purchase. UX moat 

Not long $COIN but not a bad play to invest in plebs. Not everyone is sharp &amp; is gonna use the cheaper/better/advanced products

Remember why your local branch investment manager has a job"
102,coachpoppavic,2021-11-01 23:17:26+00:00,3,1,0,Twitter Web App,19638,1627,0,0,en,FTX: where your limit orders always get front run and your stops always get hit 🤝
103,BrunnoMdeC,2021-11-01 23:17:00+00:00,0,0,0,Twitter for Android,3286,66,0,0,pt,@InvestWolf @eduwiezel FTX parece amadora?
104,0xDudeDiligence,2021-11-01 23:16:56+00:00,0,0,0,Twitter Web App,32092,6885,0,0,en,utilizing FTX and the Solana Defi ecosystem to fund accumulation of raw ETH and eth-based NFTs without selling any bags is hilarious and amazing.
105,CryptoConekt,2021-11-01 23:16:44+00:00,0,0,0,erased22194974_8CRqP7iv7U,217615,4416,0,0,en,"✈️💰$1,099,273 $LTC LONG @$198.49 | 11/01 23:16:37
🏦FTX | LTC PERP

👀 I don't believe in stop losses, it's a distraction - Celine Dion"
106,WhaleTrades,2021-11-01 23:16:38+00:00,13,0,0,Bitmex High Trades,333721,191792,0,0,en,"📈💶$1,099,273 $LTC LONGED @$198.49 [01/11/21 23:16:38]
🏪FTX | LTC-PERP

🗣️wow, Satoshi did a massive pre-mine! - CurrencyTycoon"
107,DYORCryptoBot,2021-11-01 23:16:04+00:00,1,1,2,DYORCryptoBot,323628,91521,1,0,en,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $TULIP
2: $LRC
3: $YFII
4: $STX
5: $XAUT

Top 5 bullish trend (#USD stocks)
1: $AMC
2: $GME
3: $UBER
4: $TWTR
5: $ABNB

All #FTX results on https://t.co/vMSA8RwQ1G website!"
108,Kay_FtX,2021-11-01 23:14:34+00:00,0,0,0,Twitter for iPhone,43996,525,0,0,ja,そんなねぇ、ポンと買える額じゃないのよ、ライカは……
109,CryptoConekt,2021-11-01 23:13:48+00:00,0,0,0,erased22194974_8CRqP7iv7U,217615,4416,0,0,en,"🐻💰$731,048 $LTC SHORT @$197.5 | 11/01 23:13:41
🏦FTX | LTC PERP

👀 The only way to lose is to not buy - Big Pun"
110,Kay_FtX,2021-11-01 23:13:44+00:00,0,0,0,Twitter for iPhone,43996,525,0,0,ja,23.3万だって。
111,WhaleTrades,2021-11-01 23:13:43+00:00,1,1,0,Bitmex High Trades,333721,191792,0,0,en,"📉💶$731,048 $LTC SHORTED @$197.5 [01/11/21 23:13:43]
🏪FTX | LTC-PERP

🗣️Bitcoin is the real Bitcoin"
112,Icyponds,2021-11-01 23:12:13+00:00,1,0,0,Twitter for iPhone,2314,118,0,0,en,@bitcoinpanda69 @DegenSpartan Don’t let the lack of high enough lev buttons on FTX stand in the way of your dreams fooo
113,0xDudeDiligence,2021-11-01 23:11:09+00:00,0,1,0,Twitter Web App,32092,6885,0,0,en,"swapping SOL to ETH on FTX was nearly painless. So the only things that standin front of me are the cost to tx from exchange to wallet, and the gas to buy more NFTs."
114,coin_sack,2021-11-01 23:10:26+00:00,14,2,7,Twitter Web App,1374,1070,0,0,en,"COIN SACK 

Was Just Officially Listed on @ftx_app"
115,letusbet,2021-11-01 23:10:14+00:00,0,0,0,market_alerts,25281,790,0,0,en,#Ethereum March future on #ftx is trading at 6.07% premium over spot
116,CryptoConekt,2021-11-01 23:09:45+00:00,0,0,0,erased22194974_8CRqP7iv7U,217615,4416,0,0,en,"✈️💰$623,197 $BNB LONG @$547.0 | 11/01 23:09:39
🏦FTX | BNB PERP

👀 The only coin I care about is USD - Chris Brown"
117,WhaleTrades,2021-11-01 23:09:40+00:00,3,1,0,Bitmex High Trades,333721,191792,0,0,en,"📈💶$623,197 $BNB LONGED @$547.0 [01/11/21 23:09:40]
🏪FTX | BNB-PERP

🗣️Even if I’m wrong, my stop-loss is right. - Crypto_Core"
118,newaysproduct,2021-11-01 23:09:10+00:00,0,0,0,twittbot.net,15823,5,0,0,ja,"フィットチェイス FTX
カニの殻から抽出したキトサン、ビタミンCを配合。
揚げ物やお菓子など脂肪が多い食事を好む方をサポートします。
【主な原材料】
キトサン(カニ由来)、大豆レシチン"
119,btc_status,2021-11-01 23:09:07+00:00,0,0,0,BTC Status Bot,519800,45704,1,0,en,"🪙 FTX Lending

Price: $61,189
Funding Rate (%/year)
　BTC: 2.50% ($1.91B)
　ETH: 2.00% ($0.47B)
　USD: 10.00% ($2.37B) https://t.co/BZzD7Fyuem"
120,EFIdatabase,2021-11-01 23:08:39+00:00,0,0,0,twittbot.net,82901,4,0,0,ja,"ベルゼブブ級セカンド中佐専用強襲重機動高火力弩級要塞戦艦BTL-FTX
全長:6km729m98cm4mm
総重量:3,657,315,309t175kg
最高速度:6,000,000,000Gm/h
開発費:433PCrd.
素点:5500"
121,namexmexking,2021-11-01 23:08:38+00:00,0,1,0,Twitter for iPhone,6857,1167,0,0,en,"I NEED SOMEONE FROM SUPPORT, AND NOT SAME, TO ASSIST ME IN REGAINING ACCESS TO MY ACCOUNT AND MY FUNDS.. EVERY SINGLE PENNY. @ftx_app @FTX_Official @bbb_us"
122,ssandds,2021-11-01 23:07:42+00:00,0,0,0,Twitter Web App,1954,203,0,0,en,"$SOL looks a bit jealous after this $DOT rally and nobody is talking about it despite the fact that FTX = SOL and FTX literally everywhere now

Would not be surprised one bit if we retest all time highs tomorrow or wed, which conveniently are ~10% away from here"
